iter	Passed	Remaining
0	176	176699
1	178	89063
2	180	59840
3	181	45184
4	182	36370
5	184	30488
6	185	26283
7	186	23154
8	187	20697
9	189	18738
10	190	17128
11	191	15751
12	192	14619
13	193	13649
14	195	12809
15	196	12074
16	197	11425
17	198	10848
18	200	10330
19	201	9859
20	202	9438
21	203	9059
22	204	8700
23	205	8367
24	206	8061
25	207	7781
26	208	7521
27	209	7279
28	210	7053
29	211	6846
30	212	6649
31	213	6467
32	214	6295
33	215	6133
34	217	5987
35	218	5844
36	219	5706
37	220	5576
38	221	5453
39	222	5335
40	223	5223
41	224	5118
42	225	5018
43	226	4927
44	227	4836
45	228	4748
46	231	4693
47	234	4654
48	236	4593
49	239	4550
50	240	4479
51	241	4409
52	243	4345
53	244	4283
54	245	4222
55	246	4162
56	248	4112
57	249	4055
58	250	4002
59	252	3950
60	253	3898
61	254	3848
62	255	3800
63	257	3759
64	258	3716
65	259	3671
66	260	3630
67	262	3592
68	263	3552
69	264	3514
70	265	3477
71	267	3442
72	268	3405
73	269	3369
74	270	3333
75	271	3299
76	272	3266
77	273	3232
78	274	3199
79	275	3168
80	276	3137
81	278	3112
82	279	3084
83	280	3055
84	281	3027
85	282	3001
86	283	2975
87	284	2949
88	285	2923
89	287	2902
90	288	2878
91	289	2854
92	290	2832
93	291	2809
94	292	2789
95	294	2768
96	295	2749
97	296	2728
98	297	2707
99	298	2686
100	299	2666
101	300	2646
102	301	2629
103	303	2611
104	304	2593
105	305	2577
106	306	2559
107	307	2542
108	308	2524
109	310	2509
110	311	2494
111	312	2478
112	313	2462
113	315	2448
114	316	2432
115	317	2417
116	318	2403
117	319	2389
118	320	2375
119	322	2361
120	323	2347
121	324	2335
122	325	2322
123	326	2309
124	327	2295
125	329	2283
126	330	2270
127	331	2257
128	332	2245
129	333	2232
130	334	2220
131	335	2208
132	336	2195
133	337	2184
134	339	2172
135	340	2164
136	342	2158
137	343	2148
138	345	2137
139	346	2126
140	347	2115
141	348	2104
142	349	2093
143	350	2082
144	351	2073
145	352	2063
146	353	2053
147	354	2042
148	357	2042
149	359	2036
150	361	2030
151	362	2021
152	363	2012
153	364	2003
154	365	1994
155	367	1985
156	368	1976
157	369	1966
158	370	1957
159	371	1950
